Time                             R       Lat       Lon
2022-01-12/01:06:30          10.93     1.954     291.9
2022-01-12/01:06:40          10.93     1.958     292.0
2022-01-12/01:06:50          10.93     1.962     292.1
2022-01-12/01:07:00          10.93     1.965     292.2
2022-01-12/01:07:10          10.93     1.969     292.3
2022-01-12/01:07:20          10.92     1.973     292.4
2022-01-12/01:07:30          10.92     1.977     292.5
2022-01-12/01:07:40          10.92     1.981     292.6
2022-01-12/01:07:50          10.92     1.985     292.7
2022-01-12/01:08:00          10.91     1.989     292.8
2022-01-12/01:08:10          10.91     1.993     292.9
2022-01-12/01:08:20          10.91     1.997     293.0
2022-01-12/01:08:30          10.91     2.001     293.1
2022-01-12/01:08:40          10.90     2.005     293.2
2022-01-12/01:08:50          10.90     2.009     293.3
2022-01-12/01:09:00          10.90     2.013     293.4
2022-01-12/01:09:10          10.90     2.017     293.5
2022-01-12/01:09:20          10.90     2.021     293.6
2022-01-12/01:09:30          10.89     2.025     293.7
2022-01-12/01:09:40          10.89     2.029     293.8
2022-01-12/01:09:50          10.89     2.033     293.9
2022-01-12/01:10:00          10.89     2.037     294.0
2022-01-12/01:10:10          10.88     2.041     294.1
2022-01-12/01:10:20          10.88     2.045     294.2
2022-01-12/01:10:30          10.88     2.049     294.3
2022-01-12/01:10:40          10.88     2.053     294.5
2022-01-12/01:10:50          10.88     2.057     294.6
2022-01-12/01:11:00          10.87     2.061     294.7
2022-01-12/01:11:10          10.87     2.065     294.8
2022-01-12/01:11:20          10.87     2.069     294.9
2022-01-12/01:11:30          10.87     2.073     295.0
2022-01-12/01:11:40          10.86     2.077     295.1
2022-01-12/01:11:50          10.86     2.082     295.2
2022-01-12/01:12:00          10.86     2.086     295.3
2022-01-12/01:12:10          10.86     2.090     295.4
2022-01-12/01:12:20          10.86     2.094     295.5
2022-01-12/01:12:30          10.85     2.098     295.6
2022-01-12/01:12:40          10.85     2.102     295.7
2022-01-12/01:12:50          10.85     2.106     295.8
2022-01-12/01:13:00          10.85     2.110     295.9
2022-01-12/01:13:10          10.84     2.114     296.0
2022-01-12/01:13:20          10.84     2.118     296.1
2022-01-12/01:13:30          10.84     2.122     296.2
2022-01-12/01:13:40          10.84     2.126     296.3
2022-01-12/01:13:50          10.83     2.130     296.4
2022-01-12/01:14:00          10.83     2.134     296.5
2022-01-12/01:14:10          10.83     2.138     296.6
2022-01-12/01:14:20          10.83     2.142     296.7
2022-01-12/01:14:30          10.83     2.146     296.8
2022-01-12/01:14:40          10.82     2.150     296.9
2022-01-12/01:14:50          10.82     2.154     297.0
2022-01-12/01:15:00          10.82     2.158     297.1
2022-01-12/01:15:10          10.82     2.162     297.2
2022-01-12/01:15:20          10.81     2.166     297.3
2022-01-12/01:15:30          10.81     2.170     297.4
2022-01-12/01:15:40          10.81     2.175     297.5
2022-01-12/01:15:50          10.81     2.179     297.6
2022-01-12/01:16:00          10.81     2.183     297.7
2022-01-12/01:16:10          10.80     2.187     297.8
2022-01-12/01:16:20          10.80     2.191     297.9
2022-01-12/01:16:30          10.80     2.195     298.0
2022-01-12/01:16:40          10.80     2.199     298.1
2022-01-12/01:16:50          10.79     2.203     298.2
2022-01-12/01:17:00          10.79     2.207     298.3
2022-01-12/01:17:10          10.79     2.211     298.4
2022-01-12/01:17:20          10.79     2.215     298.5
2022-01-12/01:17:30          10.79     2.219     298.6
2022-01-12/01:17:40          10.78     2.223     298.7
2022-01-12/01:17:50          10.78     2.227     298.8
2022-01-12/01:18:00          10.78     2.232     298.9
2022-01-12/01:18:10          10.78     2.236     299.0
2022-01-12/01:18:20          10.77     2.240     299.1
2022-01-12/01:18:30          10.77     2.244     299.2
