Time                           Lat
2022-01-12/07:58:00         -68.52
2022-01-12/07:59:00         -68.47
2022-01-12/08:00:00         -68.42
2022-01-12/08:01:00         -68.36
2022-01-12/08:02:00         -68.31
2022-01-12/08:03:00         -68.26
2022-01-12/08:04:00         -68.20
2022-01-12/08:05:00         -68.15
2022-01-12/08:06:00         -68.10
2022-01-12/08:07:00         -68.04
2022-01-12/08:08:00         -67.99
2022-01-12/08:09:00         -67.94
2022-01-12/08:10:00         -67.89
2022-01-12/08:11:00         -67.84
2022-01-12/08:12:00         -67.79
2022-01-12/08:13:00         -67.74
2022-01-12/08:14:00         -67.69
2022-01-12/08:15:00         -67.63
2022-01-12/08:16:00         -67.58
2022-01-12/08:17:00         -67.53
2022-01-12/08:18:00         -67.48
2022-01-12/08:19:00         -67.43
2022-01-12/08:20:00         -67.38
2022-01-12/08:21:00         -67.33
2022-01-12/08:22:00         -67.29
2022-01-12/08:23:00         -67.24
2022-01-12/08:24:00         -67.19
2022-01-12/08:25:00         -67.14
2022-01-12/08:26:00         -67.09
2022-01-12/08:27:00         -67.04
2022-01-12/08:28:00         -66.99
2022-01-12/08:29:00         -66.95
2022-01-12/08:30:00         -66.90
2022-01-12/08:31:00         -66.85
2022-01-12/08:32:00         -66.80
2022-01-12/08:33:00         -66.75
2022-01-12/08:34:00         -66.71
2022-01-12/08:35:00         -66.66
2022-01-12/08:36:00         -66.61
2022-01-12/08:37:00         -66.57
2022-01-12/08:38:00         -66.52
2022-01-12/08:39:00         -66.47
2022-01-12/08:40:00         -66.43
2022-01-12/08:41:00         -66.38
2022-01-12/08:42:00         -66.33
2022-01-12/08:43:00         -66.29
2022-01-12/08:44:00         -66.24
2022-01-12/08:45:00         -66.20
2022-01-12/08:46:00         -66.15
2022-01-12/08:47:00         -66.11
2022-01-12/08:48:00         -66.06
2022-01-12/08:49:00         -66.02
2022-01-12/08:50:00         -65.97
2022-01-12/08:51:00         -65.93
2022-01-12/08:52:00         -65.88
2022-01-12/08:53:00         -65.84
2022-01-12/08:54:00         -65.79
2022-01-12/08:55:00         -65.75
2022-01-12/08:56:00         -65.70
2022-01-12/08:57:00         -65.66
2022-01-12/08:58:00         -65.62
2022-01-12/08:59:00         -65.57
2022-01-12/09:00:00         -65.53
2022-01-12/09:01:00         -65.49
