Time                           Lat
2022-01-12/11:51:00         -64.77
2022-01-12/11:52:00         -64.74
2022-01-12/11:53:00         -64.71
2022-01-12/11:54:00         -64.69
2022-01-12/11:55:00         -64.66
2022-01-12/11:56:00         -64.63
2022-01-12/11:57:00         -64.61
2022-01-12/11:58:00         -64.58
2022-01-12/11:59:00         -64.55
2022-01-12/12:00:00         -64.52
2022-01-12/12:01:00         -64.49
2022-01-12/12:02:00         -64.46
2022-01-12/12:03:00         -64.43
2022-01-12/12:04:00         -64.41
2022-01-12/12:05:00         -64.38
2022-01-12/12:06:00         -64.35
2022-01-12/12:07:00         -64.32
2022-01-12/12:08:00         -64.29
2022-01-12/12:09:00         -64.26
2022-01-12/12:10:00         -64.23
2022-01-12/12:11:00         -64.20
2022-01-12/12:12:00         -64.17
2022-01-12/12:13:00         -64.14
2022-01-12/12:14:00         -64.11
2022-01-12/12:15:00         -64.08
2022-01-12/12:16:00         -64.05
2022-01-12/12:17:00         -64.02
2022-01-12/12:18:00         -63.99
2022-01-12/12:19:00         -63.96
2022-01-12/12:20:00         -63.93
2022-01-12/12:21:00         -63.90
2022-01-12/12:22:00         -63.87
2022-01-12/12:23:00         -63.85
2022-01-12/12:24:00         -63.82
2022-01-12/12:25:00         -63.79
2022-01-12/12:26:00         -63.76
2022-01-12/12:27:00         -63.73
2022-01-12/12:28:00         -63.71
2022-01-12/12:29:00         -63.68
2022-01-12/12:30:00         -63.65
2022-01-12/12:31:00         -63.63
2022-01-12/12:32:00         -63.60
2022-01-12/12:33:00         -63.57
2022-01-12/12:34:00         -63.55
2022-01-12/12:35:00         -63.53
2022-01-12/12:36:00         -63.50
2022-01-12/12:37:00         -63.48
2022-01-12/12:38:00         -63.46
2022-01-12/12:39:00         -63.43
2022-01-12/12:40:00         -63.41
2022-01-12/12:41:00         -63.39
2022-01-12/12:42:00         -63.37
2022-01-12/12:43:00         -63.35
2022-01-12/12:44:00         -63.34
2022-01-12/12:45:00         -63.32
2022-01-12/12:46:00         -63.30
2022-01-12/12:47:00         -63.29
2022-01-12/12:48:00         -63.27
2022-01-12/12:49:00         -63.26
2022-01-12/12:50:00         -63.24
2022-01-12/12:51:00         -63.23
2022-01-12/12:52:00         -63.22
2022-01-12/12:53:00         -63.21
2022-01-12/12:54:00         -63.20
2022-01-12/12:55:00         -63.19
2022-01-12/12:56:00         -63.18
2022-01-12/12:57:00         -63.18
2022-01-12/12:58:00         -63.17
2022-01-12/12:59:00         -63.16
