Time	R	Lat	Lon
2022-01-12/00:11:20	1.006	-76.41333333333333	283.0
2022-01-12/00:11:21	1.006	-76.41199999999999	283.01
2022-01-12/00:11:22	1.006	-76.41066666666667	283.02
2022-01-12/00:11:23	1.006	-76.40933333333334	283.03
2022-01-12/00:11:24	1.006	-76.408	283.04
2022-01-12/00:11:25	1.006	-76.40666666666667	283.05
2022-01-12/00:11:26	1.006	-76.40533333333333	283.06
2022-01-12/00:11:27	1.006	-76.404	283.07
2022-01-12/00:11:28	1.006	-76.40266666666666	283.08
2022-01-12/00:11:29	1.006	-76.40133333333333	283.09
2022-01-12/00:11:30	1.006	-76.4	283.1
2022-01-12/00:11:31	1.006	-76.39866666666667	283.11
2022-01-12/00:11:32	1.006	-76.39733333333334	283.12
2022-01-12/00:11:33	1.006	-76.396	283.13
2022-01-12/00:11:34	1.006	-76.39466666666667	283.14
2022-01-12/00:11:35	1.006	-76.39333333333333	283.15
2022-01-12/00:11:36	1.006	-76.392	283.15999999999997
2022-01-12/00:11:37	1.006	-76.39066666666666	283.17
2022-01-12/00:11:38	1.006	-76.38933333333333	283.18
2022-01-12/00:11:39	1.006	-76.388	283.19
2022-01-12/00:11:40	1.006	-76.38666666666667	283.2
2022-01-12/00:11:41	1.006	-76.38533333333334	283.21
2022-01-12/00:11:42	1.006	-76.384	283.21999999999997
2022-01-12/00:11:43	1.006	-76.38266666666667	283.22999999999996
2022-01-12/00:11:44	1.006	-76.38133333333333	283.24
2022-01-12/00:11:45	1.006	-76.38	283.25
2022-01-12/00:11:46	1.006	-76.37866666666666	283.26
2022-01-12/00:11:47	1.006	-76.37733333333333	283.27
2022-01-12/00:11:48	1.006	-76.376	283.28
2022-01-12/00:11:49	1.006	-76.37466666666667	283.28999999999996
2022-01-12/00:11:50	1.006	-76.37333333333333	283.29999999999995
2022-01-12/00:11:51	1.006	-76.372	283.31
2022-01-12/00:11:52	1.006	-76.37066666666666	283.32
2022-01-12/00:11:53	1.006	-76.36933333333333	283.33
2022-01-12/00:11:54	1.006	-76.368	283.34
2022-01-12/00:11:55	1.006	-76.36666666666666	283.34999999999997
2022-01-12/00:11:56	1.006	-76.36533333333334	283.35999999999996
2022-01-12/00:11:57	1.006	-76.364	283.37
2022-01-12/00:11:58	1.006	-76.36266666666667	283.38
2022-01-12/00:11:59	1.006	-76.36133333333333	283.39
2022-01-12/00:12:00	1.006	-76.36	283.4
2022-01-12/00:12:01	1.006	-76.35866666666666	283.40999999999997
2022-01-12/00:12:02	1.006	-76.35733333333333	283.41999999999996
2022-01-12/00:12:03	1.006	-76.356	283.42999999999995
2022-01-12/00:12:04	1.006	-76.35466666666666	283.44
2022-01-12/00:12:05	1.006	-76.35333333333334	283.45
2022-01-12/00:12:06	1.006	-76.352	283.46
2022-01-12/00:12:07	1.006	-76.35066666666667	283.46999999999997
2022-01-12/00:12:08	1.006	-76.34933333333333	283.47999999999996
2022-01-12/00:12:09	1.006	-76.348	283.49
2022-01-12/00:12:10	1.006	-76.34666666666666	283.5
2022-01-12/00:12:11	1.006	-76.34533333333333	283.51
2022-01-12/00:12:12	1.006	-76.344	283.52
2022-01-12/00:12:13	1.006	-76.34266666666667	283.53
2022-01-12/00:12:14	1.006	-76.34133333333334	283.53999999999996
2022-01-12/00:12:15	1.006	-76.34	283.54999999999995
2022-01-12/00:12:16	1.006	-76.33866666666667	283.56
2022-01-12/00:12:17	1.006	-76.33733333333333	283.57
2022-01-12/00:12:18	1.006	-76.336	283.58
2022-01-12/00:12:19	1.006	-76.33466666666666	283.59
2022-01-12/00:12:20	1.006	-76.33333333333333	283.59999999999997
2022-01-12/00:12:21	1.006	-76.332	283.61
2022-01-12/00:12:22	1.006	-76.33066666666667	283.62
2022-01-12/00:12:23	1.006	-76.32933333333334	283.63
2022-01-12/00:12:24	1.006	-76.328	283.64
2022-01-12/00:12:25	1.006	-76.32666666666667	283.65
2022-01-12/00:12:26	1.006	-76.32533333333333	283.65999999999997
2022-01-12/00:12:27	1.006	-76.324	283.66999999999996
2022-01-12/00:12:28	1.006	-76.32266666666666	283.68
2022-01-12/00:12:29	1.006	-76.32133333333333	283.69
2022-01-12/00:12:30	1.006	-76.32	283.7
2022-01-12/00:12:31	1.006	-76.31866666666667	283.71
2022-01-12/00:12:32	1.006	-76.31733333333334	283.71999999999997
2022-01-12/00:12:33	1.006	-76.316	283.73
2022-01-12/00:12:34	1.006	-76.31466666666667	283.74
2022-01-12/00:12:35	1.006	-76.31333333333333	283.75
2022-01-12/00:12:36	1.006	-76.312	283.76
2022-01-12/00:12:37	1.006	-76.31066666666666	283.77
2022-01-12/00:12:38	1.006	-76.30933333333333	283.78
2022-01-12/00:12:39	1.006	-76.308	283.78999999999996
2022-01-12/00:12:40	1.006	-76.30666666666667	283.8
2022-01-12/00:12:41	1.006	-76.30533333333334	283.81
