                    time         Energy    pitch_angle            Daa
2022-01-12/04:02:45      4.270e-05     23.00 4.496e-08
2022-01-12/04:02:45      4.270e-05     26.00 4.638e-08
2022-01-12/04:02:45      4.270e-05     29.00 4.707e-08
2022-01-12/04:02:45      4.270e-05     32.00 4.759e-08
2022-01-12/04:02:45      4.270e-05     35.00 4.749e-08
2022-01-12/04:02:45      4.270e-05     38.00 4.823e-08
2022-01-12/04:02:45      4.270e-05     41.00 4.932e-08
2022-01-12/04:02:45      4.270e-05     44.00 5.093e-08
2022-01-12/04:02:45      4.270e-05     47.00 5.154e-08
2022-01-12/04:02:45      4.270e-05     50.00 1.777e-08
2022-01-12/04:02:45      4.270e-05     52.00 1.280e-10
2022-01-12/04:02:45      4.270e-05     54.00 3.649e-10
2022-01-12/04:02:45      4.270e-05     56.00 5.849e-10
2022-01-12/04:02:45      4.270e-05     58.00 3.395e-10
2022-01-12/04:02:45      4.270e-05     60.00     0.000
2022-01-12/04:02:45      4.270e-05     62.00     0.000
2022-01-12/04:02:45      4.270e-05     64.00     0.000
2022-01-12/04:02:45      4.270e-05     66.00     0.000
2022-01-12/04:02:45      4.270e-05     68.00     0.000
2022-01-12/04:02:45      4.270e-05     70.00     0.000
2022-01-12/04:02:45      4.270e-05     72.00     0.000
2022-01-12/04:02:45      4.270e-05     74.00     0.000
2022-01-12/04:02:45      4.270e-05     76.00     0.000
2022-01-12/04:02:45      4.270e-05     78.00     0.000
2022-01-12/04:02:45      4.270e-05     80.00     0.000
2022-01-12/04:02:45      4.270e-05     82.00     0.000
2022-01-12/04:02:45      4.270e-05     84.00     0.000
2022-01-12/04:02:45      4.270e-05     85.00     0.000
2022-01-12/04:02:45      4.270e-05     86.00     0.000
2022-01-12/04:02:45      4.270e-05     87.00     0.000
2022-01-12/04:02:45      4.270e-05     88.00     0.000
2022-01-12/04:02:45      4.270e-05     89.00     0.000
2022-01-12/04:02:45      4.270e-05     89.50     0.000
2022-01-12/04:02:45      5.041e-05     2.000 3.167e-08
2022-01-12/04:02:45      5.041e-05     5.000 3.275e-08
2022-01-12/04:02:45      5.041e-05     8.000 3.422e-08
2022-01-12/04:02:45      5.041e-05     11.00 3.597e-08
2022-01-12/04:02:45      5.041e-05     14.00 3.793e-08
2022-01-12/04:02:45      5.041e-05     17.00 3.977e-08
2022-01-12/04:02:45      5.041e-05     20.00 4.141e-08
2022-01-12/04:02:45      5.041e-05     23.00 4.260e-08
2022-01-12/04:02:45      5.041e-05     26.00 4.333e-08
2022-01-12/04:02:45      5.041e-05     29.00 4.380e-08
2022-01-12/04:02:45      5.041e-05     32.00 4.401e-08
2022-01-12/04:02:45      5.041e-05     35.00 4.398e-08
2022-01-12/04:02:45      5.041e-05     38.00 4.343e-08
2022-01-12/04:02:45      5.041e-05     41.00 4.308e-08
2022-01-12/04:02:45      5.041e-05     44.00 4.368e-08
2022-01-12/04:02:45      5.041e-05     47.00 4.554e-08
2022-01-12/04:02:45      5.041e-05     50.00 4.856e-08
2022-01-12/04:02:45      5.041e-05     52.00 4.028e-08
2022-01-12/04:02:45      5.041e-05     54.00 1.367e-08
2022-01-12/04:02:45      5.041e-05     56.00 1.618e-09
2022-01-12/04:02:45      5.041e-05     58.00 2.173e-09
2022-01-12/04:02:45      5.041e-05     60.00 1.508e-09
2022-01-12/04:02:45      5.041e-05     62.00 8.818e-11
2022-01-12/04:02:45      5.041e-05     64.00     0.000
2022-01-12/04:02:45      5.041e-05     66.00     0.000
2022-01-12/04:02:45      5.041e-05     68.00     0.000
