Time                           Lon
2022-01-12/12:38:00          51.89
2022-01-12/12:39:00          52.25
2022-01-12/12:40:00          52.60
2022-01-12/12:41:00          52.96
2022-01-12/12:42:00          53.31
2022-01-12/12:43:00          53.66
2022-01-12/12:44:00          54.01
2022-01-12/12:45:00          54.36
2022-01-12/12:46:00          54.71
2022-01-12/12:47:00          55.05
2022-01-12/12:48:00          55.39
2022-01-12/12:49:00          55.73
2022-01-12/12:50:00          56.07
2022-01-12/12:51:00          56.41
2022-01-12/12:52:00          56.75
2022-01-12/12:53:00          57.08
2022-01-12/12:54:00          57.42
2022-01-12/12:55:00          57.75
2022-01-12/12:56:00          58.08
2022-01-12/12:57:00          58.41
2022-01-12/12:58:00          58.74
2022-01-12/12:59:00          59.07
2022-01-12/13:00:00          59.39
2022-01-12/13:01:00          59.72
2022-01-12/13:02:00          60.04
2022-01-12/13:03:00          60.36
2022-01-12/13:04:00          60.69
2022-01-12/13:05:00          61.01
2022-01-12/13:06:00          61.32
2022-01-12/13:07:00          61.64
2022-01-12/13:08:00          61.96
2022-01-12/13:09:00          62.28
2022-01-12/13:10:00          62.59
2022-01-12/13:11:00          62.91
2022-01-12/13:12:00          63.22
2022-01-12/13:13:00          63.53
2022-01-12/13:14:00          63.84
2022-01-12/13:15:00          64.15
2022-01-12/13:16:00          64.46
2022-01-12/13:17:00          64.77
2022-01-12/13:18:00          65.08
2022-01-12/13:19:00          65.39
2022-01-12/13:20:00          65.70
2022-01-12/13:21:00          66.01
2022-01-12/13:22:00          66.31
2022-01-12/13:23:00          66.62
2022-01-12/13:24:00          66.92
2022-01-12/13:25:00          67.23
2022-01-12/13:26:00          67.53
2022-01-12/13:27:00          67.83
2022-01-12/13:28:00          68.14
2022-01-12/13:29:00          68.44
2022-01-12/13:30:00          68.74
2022-01-12/13:31:00          69.05
2022-01-12/13:32:00          69.35
2022-01-12/13:33:00          69.65
2022-01-12/13:34:00          69.95
2022-01-12/13:35:00          70.25
2022-01-12/13:36:00          70.55
2022-01-12/13:37:00          70.85
2022-01-12/13:38:00          71.15
2022-01-12/13:39:00          71.45
2022-01-12/13:40:00          71.75
2022-01-12/13:41:00          72.05
