Time                          Flux_prec
2022-01-12/05:27:45          40.74
2022-01-12/05:28:15          42.90
2022-01-12/05:28:45          16.28
2022-01-12/05:29:15          47.56
2022-01-12/05:29:45          47.35
2022-01-12/05:30:15          8.193
2022-01-12/05:30:45          8.033
2022-01-12/05:31:15          54.98
2022-01-12/05:31:45          20.93
2022-01-12/05:32:15          42.32
2022-01-12/05:32:45          30.77
2022-01-12/05:33:15          20.65
2022-01-12/05:33:45          7.896
2022-01-12/05:34:15          43.45
2022-01-12/05:34:45          75.42
2022-01-12/05:35:15          67.61
2022-01-12/05:35:45          81.08
2022-01-12/05:36:15          113.5
2022-01-12/05:36:45          65.79
2022-01-12/05:37:15          179.8
2022-01-12/05:37:45          69.76
2022-01-12/05:38:15          51.02
2022-01-12/05:38:45          14.29
2022-01-12/05:39:15          9.940
2022-01-12/05:39:45          20.30
2022-01-12/05:40:15          62.76
2022-01-12/05:40:45          23.42
2022-01-12/05:41:15          20.99
2022-01-12/05:41:45          16.32
2022-01-12/05:42:15          8.551
2022-01-12/05:42:45          22.33
2022-01-12/05:43:15          7.030
2022-01-12/05:43:45          11.52
2022-01-12/05:44:15          25.18
2022-01-12/05:44:45          25.61
2022-01-12/05:45:15          24.84
2022-01-12/05:45:45          10.46
2022-01-12/05:46:15          7.784
2022-01-12/05:46:45          8.401
2022-01-12/05:47:15          30.78
2022-01-12/05:47:45          15.12
2022-01-12/05:48:15          13.49
2022-01-12/05:48:45          42.94
2022-01-12/05:49:15          14.88
2022-01-12/05:49:45          38.71
2022-01-12/05:50:15          21.43
2022-01-12/05:50:45          72.10
2022-01-12/05:51:15          15.06
2022-01-12/05:51:45          12.52
2022-01-12/05:52:15          28.21
2022-01-12/05:52:45          6.449
2022-01-12/05:53:15          10.55
2022-01-12/05:53:45          14.20
2022-01-12/05:54:15          9.233
2022-01-12/05:54:45          11.56
2022-01-12/05:55:15          14.38
2022-01-12/05:55:45          17.82
2022-01-12/05:56:15          10.00
2022-01-12/05:56:45          8.584
2022-01-12/05:57:15          8.020
2022-01-12/05:57:45          7.738
2022-01-12/05:58:15          7.165
2022-01-12/05:58:45          0.000
2022-01-12/05:59:15          14.29
2022-01-12/05:59:45          0.000
2022-01-12/06:00:15          29.95
2022-01-12/06:00:45          46.74
2022-01-12/06:01:15          11.65
2022-01-12/06:01:45          35.65
2022-01-12/06:02:15          17.58
2022-01-12/06:02:45          20.16
2022-01-12/06:03:15          15.94
2022-01-12/06:03:45          14.81
2022-01-12/06:04:15          30.87
2022-01-12/06:04:45          21.50
2022-01-12/06:05:15          19.73
2022-01-12/06:05:45          0.000
2022-01-12/06:06:15          18.97
2022-01-12/06:06:45          20.69
2022-01-12/06:07:15          10.57
2022-01-12/06:07:45          12.38
2022-01-12/06:08:15          0.000
2022-01-12/06:08:45          0.000
2022-01-12/06:09:15          10.57
2022-01-12/06:09:45          10.93
2022-01-12/06:10:15          30.12
2022-01-12/06:10:45          0.000
2022-01-12/06:11:15          0.000
2022-01-12/06:11:45          0.000
2022-01-12/06:12:15          0.000
2022-01-12/06:12:45          0.000
2022-01-12/06:13:15          0.000
2022-01-12/06:13:45          0.000
2022-01-12/06:14:15          0.000
2022-01-12/06:14:45          0.000
2022-01-12/06:15:15          0.000
2022-01-12/06:15:45          0.000
2022-01-12/06:16:15          9.111
2022-01-12/06:16:45          9.697
2022-01-12/06:17:15          12.01
2022-01-12/06:17:45          16.90
2022-01-12/06:18:15          15.25
2022-01-12/06:18:45          12.76
2022-01-12/06:19:15          14.86
2022-01-12/06:19:45          20.02
