Time                       energy      ratio
2022-01-12/00:50:45          171.8     0.000
2022-01-12/00:50:45          206.7     0.000
2022-01-12/00:50:45          247.6     0.000
2022-01-12/00:50:45          295.9     0.000
2022-01-12/00:50:45          353.2     0.000
2022-01-12/00:50:45          421.5     0.000
2022-01-12/00:50:45          504.2     0.000
2022-01-12/00:50:45          605.4     0.000
2022-01-12/00:50:45          731.8     0.000
2022-01-12/00:50:45          972.3     0.000
2022-01-12/00:51:15        0.03075     0.000
2022-01-12/00:51:15        0.03242     0.000
2022-01-12/00:51:15        0.04127     0.000
2022-01-12/00:51:15        0.05200     0.000
2022-01-12/00:51:15        0.06481     0.000
2022-01-12/00:51:15        0.08088     0.000
2022-01-12/00:51:15         0.1005     0.000
2022-01-12/00:51:15         0.1256     0.000
2022-01-12/00:51:15         0.1565     0.000
2022-01-12/00:51:15         0.1950     0.000
2022-01-12/00:51:15         0.2432     0.000
2022-01-12/00:51:15         0.3030     0.000
2022-01-12/00:51:15         0.3776     0.000
2022-01-12/00:51:15         0.4700     0.000
2022-01-12/00:51:15         0.5855     0.000
2022-01-12/00:51:15         0.7291     0.000
2022-01-12/00:51:15         0.9078     0.000
2022-01-12/00:51:15          1.129     0.000
2022-01-12/00:51:15          1.406     0.000
2022-01-12/00:51:15          1.751     0.000
2022-01-12/00:51:15          2.180     0.000
2022-01-12/00:51:15          2.715     0.000
2022-01-12/00:51:15          3.375     0.000
2022-01-12/00:51:15          4.202     0.000
2022-01-12/00:51:15          5.232     0.000
2022-01-12/00:51:15          6.521     0.000
2022-01-12/00:51:15          8.126     0.000
2022-01-12/00:51:15          10.11     0.000
2022-01-12/00:51:15          12.59     0.000
2022-01-12/00:51:15          15.68     0.000
2022-01-12/00:51:15          19.53     0.000
2022-01-12/00:51:15          24.32     0.000
2022-01-12/00:51:15          39.23     0.000
2022-01-12/00:51:15          46.73     0.000
2022-01-12/00:51:15          56.30     0.000
2022-01-12/00:51:15          67.84     0.000
2022-01-12/00:51:15          81.77     0.000
2022-01-12/00:51:15          98.36     0.000
2022-01-12/00:51:15          118.6     0.000
2022-01-12/00:51:15          142.9     0.000
2022-01-12/00:51:15          171.8     0.000
2022-01-12/00:51:15          206.7     0.000
2022-01-12/00:51:15          247.6     0.000
2022-01-12/00:51:15          295.9     0.000
2022-01-12/00:51:15          353.2     0.000
