Time                             Mshell         energy           flux
2022-01-12/00:08:15          11.93 1.186e+05 3.282e+05
2022-01-12/00:08:15          11.93 1.429e+05 2.607e+05
2022-01-12/00:08:15          11.93 1.718e+05 2.200e+05
2022-01-12/00:08:15          11.93 2.067e+05 2.017e+05
2022-01-12/00:08:15          11.93 2.476e+05 1.536e+05
2022-01-12/00:08:15          11.93 2.959e+05 1.136e+05
2022-01-12/00:08:15          11.93 3.532e+05 7.767e+04
2022-01-12/00:08:15          11.93 4.215e+05 5.426e+04
2022-01-12/00:08:15          11.93 5.042e+05 3.515e+04
2022-01-12/00:08:15          11.93 6.054e+05 2.208e+04
2022-01-12/00:08:15          11.93 7.318e+05 1.444e+04
2022-01-12/00:08:15          11.93 9.723e+05 1.131e+04
2022-01-12/00:08:45          11.92     30.75 3.726e+10
2022-01-12/00:08:45          11.92     32.42 3.571e+10
2022-01-12/00:08:45          11.92     41.27 2.858e+10
2022-01-12/00:08:45          11.92     52.00 2.267e+10
2022-01-12/00:08:45          11.92     64.81 1.723e+10
2022-01-12/00:08:45          11.92     80.88 1.286e+10
2022-01-12/00:08:45          11.92     100.5 8.853e+09
2022-01-12/00:08:45          11.92     125.6 5.942e+09
2022-01-12/00:08:45          11.92     156.5 3.818e+09
2022-01-12/00:08:45          11.92     195.0 2.464e+09
2022-01-12/00:08:45          11.92     243.2 1.587e+09
2022-01-12/00:08:45          11.92     303.0 1.062e+09
2022-01-12/00:08:45          11.92     377.6 6.920e+08
2022-01-12/00:08:45          11.92     470.0 4.745e+08
2022-01-12/00:08:45          11.92     585.5 3.285e+08
2022-01-12/00:08:45          11.92     729.1 2.200e+08
2022-01-12/00:08:45          11.92     907.8 1.602e+08
2022-01-12/00:08:45          11.92     1129. 1.101e+08
2022-01-12/00:08:45          11.92     1406. 7.674e+07
2022-01-12/00:08:45          11.92     1751. 5.257e+07
2022-01-12/00:08:45          11.92     2180. 3.631e+07
2022-01-12/00:08:45          11.92     2715. 2.337e+07
2022-01-12/00:08:45          11.92     3375. 1.765e+07
2022-01-12/00:08:45          11.92     4202. 1.341e+07
2022-01-12/00:08:45          11.92     5232. 1.024e+07
