Time                    Mshell    R         MagLat    MLT       
     2022-01-12/00:51:20     11.17     11.14     2.274     20.01
     2022-01-12/00:51:30     11.17     11.14     2.259     20.01
     2022-01-12/00:51:40     11.16     11.13     2.245     20.01
     2022-01-12/00:51:50     11.16     11.13     2.231     20.01
     2022-01-12/00:52:00     11.16     11.13     2.216     20.01
     2022-01-12/00:52:10     11.16     11.13     2.202     20.01
     2022-01-12/00:52:20     11.15     11.12     2.188     20.01
     2022-01-12/00:52:30     11.15     11.12     2.173     20.01
     2022-01-12/00:52:40     11.15     11.12     2.159     20.01
     2022-01-12/00:52:50     11.15     11.12     2.145     20.01
     2022-01-12/00:53:00     11.14     11.12     2.130     20.01
     2022-01-12/00:53:10     11.14     11.11     2.116     20.01
     2022-01-12/00:53:20     11.14     11.11     2.102     20.01
     2022-01-12/00:53:30     11.14     11.11     2.087     20.01
     2022-01-12/00:53:40     11.13     11.11     2.073     20.01
     2022-01-12/00:53:50     11.13     11.10     2.059     20.01
     2022-01-12/00:54:00     11.13     11.10     2.044     20.01
     2022-01-12/00:54:10     11.12     11.10     2.030     20.01
     2022-01-12/00:54:20     11.12     11.10     2.016     20.01
     2022-01-12/00:54:30     11.12     11.10     2.001     20.01
     2022-01-12/00:54:40     11.12     11.09     1.987     20.01
     2022-01-12/00:54:50     11.11     11.09     1.973     20.01
     2022-01-12/00:55:00     11.11     11.09     1.958     20.01
     2022-01-12/00:55:10     11.11     11.09     1.944     20.01
     2022-01-12/00:55:20     11.11     11.08     1.930     20.01
     2022-01-12/00:55:30     11.10     11.08     1.915     20.01
     2022-01-12/00:55:40     11.10     11.08     1.901     20.01
     2022-01-12/00:55:50     11.10     11.08     1.887     20.01
     2022-01-12/00:56:00     11.10     11.08     1.872     20.01
     2022-01-12/00:56:10     11.09     11.07     1.858     20.01
     2022-01-12/00:56:20     11.09     11.07     1.844     20.01
     2022-01-12/00:56:30     11.09     11.07     1.829     20.01
     2022-01-12/00:56:40     11.09     11.07     1.815     20.01
     2022-01-12/00:56:50     11.08     11.06     1.801     20.01
     2022-01-12/00:57:00     11.08     11.06     1.786     20.01
     2022-01-12/00:57:10     11.08     11.06     1.772     20.01
     2022-01-12/00:57:20     11.08     11.06     1.758     20.01
     2022-01-12/00:57:30     11.07     11.06     1.743     20.01
     2022-01-12/00:57:40     11.07     11.05     1.729     20.01
     2022-01-12/00:57:50     11.07     11.05     1.715     20.01
     2022-01-12/00:58:00     11.07     11.05     1.700     20.01
     2022-01-12/00:58:10     11.06     11.05     1.686     20.02
     2022-01-12/00:58:20     11.06     11.04     1.672     20.02
     2022-01-12/00:58:30     11.06     11.04     1.657     20.02
     2022-01-12/00:58:40     11.06     11.04     1.643     20.02
     2022-01-12/00:58:50     11.05     11.04     1.629     20.02
     2022-01-12/00:59:00     11.05     11.04     1.614     20.02
     2022-01-12/00:59:10     11.05     11.03     1.600     20.02
     2022-01-12/00:59:20     11.05     11.03     1.586     20.02
     2022-01-12/00:59:30     11.04     11.03     1.572     20.02
     2022-01-12/00:59:40     11.04     11.03     1.557     20.02
     2022-01-12/00:59:50     11.04     11.02     1.543     20.02
     2022-01-12/01:00:00     11.04     11.02     1.529     20.02
     2022-01-12/01:00:10     11.03     11.02     1.514     20.02
     2022-01-12/01:00:20     11.03     11.02     1.500     20.02
     2022-01-12/01:00:30     11.03     11.01     1.486     20.02
     2022-01-12/01:00:40     11.03     11.01     1.472     20.02
     2022-01-12/01:00:50     11.02     11.01     1.457     20.02
     2022-01-12/01:01:00     11.02     11.01     1.443     20.02
     2022-01-12/01:01:10     11.02     11.01     1.429     20.02
     2022-01-12/01:01:20     11.02     11.00     1.414     20.02
     2022-01-12/01:01:30     11.01     11.00     1.400     20.02
     2022-01-12/01:01:40     11.01     11.00     1.386     20.02
     2022-01-12/01:01:50     11.01     11.00     1.372     20.02
     2022-01-12/01:02:00     11.01     10.99     1.357     20.02
     2022-01-12/01:02:10     11.00     10.99     1.343     20.02
     2022-01-12/01:02:20     11.00     10.99     1.329     20.02
     2022-01-12/01:02:30     11.00     10.99     1.315     20.02
     2022-01-12/01:02:40     11.00     10.99     1.300     20.02
     2022-01-12/01:02:50     10.99     10.98     1.286     20.02
     2022-01-12/01:03:00     10.99     10.98     1.272     20.02
     2022-01-12/01:03:10     10.99     10.98     1.258     20.02
     2022-01-12/01:03:20     10.99     10.98     1.244     20.02
     2022-01-12/01:03:30     10.98     10.97     1.229     20.02
     2022-01-12/01:03:40     10.98     10.97     1.215     20.02
     2022-01-12/01:03:50     10.98     10.97     1.201     20.02
     2022-01-12/01:04:00     10.98     10.97     1.187     20.02
     2022-01-12/01:04:10     10.97     10.97     1.172     20.02
     2022-01-12/01:04:20     10.97     10.96     1.158     20.02
     2022-01-12/01:04:30     10.97     10.96     1.144     20.02
     2022-01-12/01:04:40     10.97     10.96     1.130     20.02
     2022-01-12/01:04:50     10.96     10.96     1.116     20.02
     2022-01-12/01:05:00     10.96     10.95     1.101     20.02
     2022-01-12/01:05:10     10.96     10.95     1.087     20.02
     2022-01-12/01:05:20     10.96     10.95     1.073     20.02
     2022-01-12/01:05:30     10.96     10.95     1.059     20.02
     2022-01-12/01:05:40     10.95     10.95     1.045     20.02
     2022-01-12/01:05:50     10.95     10.94     1.031     20.02
     2022-01-12/01:06:00     10.95     10.94     1.016     20.02
     2022-01-12/01:06:10     10.95     10.94     1.002     20.02
     2022-01-12/01:06:20     10.94     10.94    0.9881     20.02
     2022-01-12/01:06:30     10.94     10.93    0.9739     20.02
     2022-01-12/01:06:40     10.94     10.93    0.9598     20.02
     2022-01-12/01:06:50     10.94     10.93    0.9456     20.02
     2022-01-12/01:07:00     10.93     10.93    0.9315     20.02
     2022-01-12/01:07:10     10.93     10.93    0.9173     20.02
     2022-01-12/01:07:20     10.93     10.92    0.9032     20.02
