time                             Energy            Daa
2022-01-12/01:30:45          24.32 3.679e-05
2022-01-12/01:30:45          39.23 1.511e-05
2022-01-12/01:30:45          46.73 1.104e-05
2022-01-12/01:30:45          56.30 7.674e-06
2022-01-12/01:30:45          67.84 5.207e-06
2022-01-12/01:30:45          81.77 3.642e-06
2022-01-12/01:30:45          98.36 3.564e-06
2022-01-12/01:30:45          118.6 2.743e-06
2022-01-12/01:30:45          142.9 1.976e-06
2022-01-12/01:30:45          171.8 1.371e-06
2022-01-12/01:30:45          206.7 9.292e-07
2022-01-12/01:30:45          247.6 6.430e-07
2022-01-12/01:30:45          295.9 6.347e-07
2022-01-12/01:30:45          353.2 5.608e-07
2022-01-12/01:30:45          421.5 4.507e-07
2022-01-12/01:30:45          504.2 3.774e-07
2022-01-12/01:30:45          605.4 3.124e-07
2022-01-12/01:30:45          731.8 2.653e-07
2022-01-12/01:30:45          972.3 2.086e-07
2022-01-12/01:31:15        0.03075     0.000
2022-01-12/01:31:15        0.03242     0.000
2022-01-12/01:31:15        0.04127     0.000
2022-01-12/01:31:15        0.05200     0.000
2022-01-12/01:31:15        0.06481     0.000
2022-01-12/01:31:15        0.08088     0.000
2022-01-12/01:31:15         0.1005     0.000
2022-01-12/01:31:15         0.1256     0.000
2022-01-12/01:31:15         0.1565     0.000
2022-01-12/01:31:15         0.1950 5.096e-08
2022-01-12/01:31:15         0.2432 6.117e-07
2022-01-12/01:31:15         0.3030 2.666e-06
2022-01-12/01:31:15         0.3776 5.229e-06
2022-01-12/01:31:15         0.4700 8.868e-06
2022-01-12/01:31:15         0.5855 1.862e-05
2022-01-12/01:31:15         0.7291 2.593e-05
2022-01-12/01:31:15         0.9078 2.890e-05
2022-01-12/01:31:15          1.129 2.910e-05
2022-01-12/01:31:15          1.406 2.715e-05
2022-01-12/01:31:15          1.751 2.434e-05
2022-01-12/01:31:15          2.180 0.0002193
2022-01-12/01:31:15          2.715 0.0005296
2022-01-12/01:31:15          3.375 0.0004917
2022-01-12/01:31:15          4.202 0.0003943
