Time                             Mshell         energy           flux
2022-01-12/00:49:15          12.06     731.8     0.000
2022-01-12/00:49:15          12.06     972.3     0.000
2022-01-12/00:49:45          12.06   0.03075     0.000
2022-01-12/00:49:45          12.06   0.03242     0.000
2022-01-12/00:49:45          12.06   0.04127     0.000
2022-01-12/00:49:45          12.06   0.05200     0.000
2022-01-12/00:49:45          12.06   0.06481     0.000
2022-01-12/00:49:45          12.06   0.08088     0.000
2022-01-12/00:49:45          12.06    0.1005     0.000
2022-01-12/00:49:45          12.06    0.1256     0.000
2022-01-12/00:49:45          12.06    0.1565     0.000
2022-01-12/00:49:45          12.06    0.1950     0.000
2022-01-12/00:49:45          12.06    0.2432 1.331e+06
2022-01-12/00:49:45          12.06    0.3030 1.908e+06
2022-01-12/00:49:45          12.06    0.3776 1.882e+06
2022-01-12/00:49:45          12.06    0.4700 1.822e+06
2022-01-12/00:49:45          12.06    0.5855 2.674e+06
2022-01-12/00:49:45          12.06    0.7291 2.021e+06
2022-01-12/00:49:45          12.06    0.9078 1.598e+06
2022-01-12/00:49:45          12.06     1.129 9.847e+05
2022-01-12/00:49:45          12.06     1.406 7.733e+05
2022-01-12/00:49:45          12.06     1.751 4.188e+05
2022-01-12/00:49:45          12.06     2.180 5.464e+05
2022-01-12/00:49:45          12.06     2.715 7.965e+05
2022-01-12/00:49:45          12.06     3.375 4.679e+05
2022-01-12/00:49:45          12.06     4.202 5.421e+05
2022-01-12/00:49:45          12.06     5.232 2.894e+05
2022-01-12/00:49:45          12.06     6.521 1.940e+05
2022-01-12/00:49:45          12.06     8.126 1.160e+05
2022-01-12/00:49:45          12.06     10.11 9.266e+04
2022-01-12/00:49:45          12.06     12.59 1.410e+05
2022-01-12/00:49:45          12.06     15.68 1.546e+05
2022-01-12/00:49:45          12.06     19.53 1.230e+05
2022-01-12/00:49:45          12.06     24.32 7.682e+04
2022-01-12/00:49:45          12.06     39.23 1.801e+04
2022-01-12/00:49:45          12.06     46.73 1.122e+04
2022-01-12/00:49:45          12.06     56.30     8300.
2022-01-12/00:49:45          12.06     67.84     5522.
2022-01-12/00:49:45          12.06     81.77     3361.
2022-01-12/00:49:45          12.06     98.36     2660.
2022-01-12/00:49:45          12.06     118.6     1856.
2022-01-12/00:49:45          12.06     142.9     1388.
2022-01-12/00:49:45          12.06     171.8     1174.
2022-01-12/00:49:45          12.06     206.7     1065.
2022-01-12/00:49:45          12.06     247.6     852.1
2022-01-12/00:49:45          12.06     295.9     590.7
2022-01-12/00:49:45          12.06     353.2     380.4
2022-01-12/00:49:45          12.06     421.5     256.5
2022-01-12/00:49:45          12.06     504.2     160.1
2022-01-12/00:49:45          12.06     605.4     124.1
2022-01-12/00:49:45          12.06     731.8     80.34
2022-01-12/00:49:45          12.06     972.3     64.61
2022-01-12/00:50:15          12.06   0.03075     0.000
2022-01-12/00:50:15          12.06   0.03242     0.000
2022-01-12/00:50:15          12.06   0.04127     0.000
2022-01-12/00:50:15          12.06   0.05200     0.000
2022-01-12/00:50:15          12.06   0.06481     0.000
2022-01-12/00:50:15          12.06   0.08088     0.000
2022-01-12/00:50:15          12.06    0.1005     0.000
2022-01-12/00:50:15          12.06    0.1256     0.000
2022-01-12/00:50:15          12.06    0.1565     0.000
2022-01-12/00:50:15          12.06    0.1950     0.000
2022-01-12/00:50:15          12.06    0.2432 3.900e+06
2022-01-12/00:50:15          12.06    0.3030 7.660e+06
2022-01-12/00:50:15          12.06    0.3776 5.535e+06
2022-01-12/00:50:15          12.06    0.4700 6.153e+06
2022-01-12/00:50:15          12.06    0.5855 9.387e+06
2022-01-12/00:50:15          12.06    0.7291 7.883e+06
2022-01-12/00:50:15          12.06    0.9078 5.487e+06
2022-01-12/00:50:15          12.06     1.129 3.778e+06
2022-01-12/00:50:15          12.06     1.406 3.012e+06
2022-01-12/00:50:15          12.06     1.751 1.710e+06
2022-01-12/00:50:15          12.06     2.180 1.931e+06
2022-01-12/00:50:15          12.06     2.715 1.670e+06
2022-01-12/00:50:15          12.06     3.375 1.328e+06
2022-01-12/00:50:15          12.06     4.202 1.049e+06
2022-01-12/00:50:15          12.06     5.232 7.385e+05
2022-01-12/00:50:15          12.06     6.521 4.973e+05
2022-01-12/00:50:15          12.06     8.126 3.516e+05
2022-01-12/00:50:15          12.06     10.11 3.022e+05
2022-01-12/00:50:15          12.06     12.59 1.984e+05
2022-01-12/00:50:15          12.06     15.68 1.787e+05
2022-01-12/00:50:15          12.06     19.53 1.353e+05
2022-01-12/00:50:15          12.06     24.32 8.265e+04
2022-01-12/00:50:15          12.06     39.23 2.366e+04
2022-01-12/00:50:15          12.06     46.73 1.509e+04
2022-01-12/00:50:15          12.06     56.30 1.115e+04
2022-01-12/00:50:15          12.06     67.84     6990.
2022-01-12/00:50:15          12.06     81.77     4527.
